,Company,Location,Title,Description,Link
0,"
Scotiabank - ","Toronto, ON","Data Scientist, Threat Monitoring","Requisition ID: 62828

Join the Global Community of Scotiabankers to help customers become better off.

X

Location(s): Canada : Ontario : Toronto

As Canada's International Bank, we are a diverse and global team. We speak more than 100 languages with backgrounds from more than 120 countries. We value the unique skills and experiences each individual brings to the Bank, and are committed to creating and maintaining an inclusive and accessible environment for everyone. If you require accommodation (including, but not limited to, an accessible interview site, alternate format documents, ASL Interpreter, or Assistive Technology) during the recruitment and selection process, please let our Recruitment team know. If you require technical assistance please click here. Candidates must apply directly online to be considered for this role. We thank all applicants for their interest in a career at Scotiabank; however, only those candidates who are selected for an interview will be contacted.
Scotiabank - 
3 days ago",https://www.indeed.ca/m/viewjob?jk=ca651ac180e06409
1,"
1000ml - ","Toronto, ON",Data Scientist (Entry-Level),"OverviewWe are training a select group of individuals to become Data Science professionals.It's a 20 week full-time program that's focused on getting our participants workplace ready. Our curriculum is project-focused and uses real industry datasets to create a professional Data Science, Machine Learning and AI portfolio. It's followed by a 6 month work term.QualificationsSTEM graduate OR software developerExperience in Statistics, Linear Algebra, Calculus OR PythonApplicationIf interested, please attach a cover letter with your resume and tell us a little bit about yourself and why you are interested in a career in Data Science.Please apply if you're ready to take a leap into a new career and can commit to 20 weeks of full-time learning.Job Type: Full-time
6 hours ago",https://www.indeed.ca/m/viewjob?jk=aa4bf5e17e2332f6
2,"
pharmascience Inc - ","Candiac, QC",Research Scientist,"Job Details
Description
Responsabilities:
The candidate will carry out formulation development work on innovative dosage forms and/or platforms Solid, Oral Liquid and sterile injectable dosage forms under the supervision of a Manager.
The candidate will participate in discussions, provide scientific inputs and execute the tasks.
The candidate will coordinate with the analytical team, warehouse, tech transfer and pilot plant in carrying out his duties.
Applies concepts of GSP [Good Scientific Practices] and performs all formulation activities in accordance with appropriate SOPs.
Prepare and make presentations and reports on progress of projects.
Perform literature review on published work and Patents.
Execute the development batches towards development of prototype formulations and manufacturing process.
Monitor short term stability of the prototype formulation.
Supervise and plan for scale-up and registration batches.
Reviews the Patent data compiled by the IP group and forwards recommendations for development strategy finalization and periodic updates.
Provides inputs in the packaging selection/optimization.
Compiles product development reports based on QbD format.
Reviews Batch production records.
Writes the API requisition for development batches and registration batches.
Supports company initiatives on Lean six sigma.
Supports company initiatives on Quality by design.

Skills, knowledge and abilities:
Background knowledge and experience in pharmaceutical technology and development of innovative platform technologies and/or sterile injectable dosage forms.
LocalWorkBC.ca - 
17 hours ago",https://www.indeed.ca/m/viewjob?jk=56a1918fda21ad74
3,"
Visier Inc. - ","Vancouver, BC",Data Scientist Co-op,"What you'll be doing...
What you'll bring to the table...
What to Expect
Enough about the work, let’s get into the fun stuff…

Perks? We know a thing or two about those… and so, we’re hooking you up! You’ll work from a modern office in the heart of a trendy downtown neighbourhood, free office yoga classes, free gym access, you get a buddy/mentor assigned, ongoing professional development, intern/co-op social activities, free office yoga, paid vacation, paid volunteer days, Friday happy hours, free fresh food, coffee, and all the snacks!

Want to get active with us? From games, sports, and outdoor adventures… As we’d like to informally say ‘work hard to play hard’! If you’re into hiking, snowshoeing, ski/snowboarding, soccer, volleyball, basketball, any ball, board games, movie nights, foodie eating, then we’ve got tons of groups for you to join.

About Us
Visier is the gathering place for the smartest thinkers, wisest sages, brightest innovators, and creative masterminds. You are a self-starter. You like to roll up your sleeves and transform the ordinary into the extraordinary. Together, we can reinvent the business intelligence industry.
With over 400 employees across our Vancouver and San Jose headquarters, we’re looking for new talent who are eager to join our dynamic, passion-driven environment. Our vision is ambitious – to redefine the field of Business Analytics by creating domain-specific and end-user- centric analytic applications.


Once your application is received and reviewed, qualified candidates will move on to our next steps.
Chat with our Campus Program Manager
Come onsite for a meeting with the hiring manager and your potential team
Meet with one of our Development leaders and learn how your career can grow with Visier
Visier is a fast-growing technology company with over 400 employees across North America and Europe. Our multi-award winning applied analytics solution has been chosen by industries as diverse as health care, technology, retail, and banking.

We’re as passionate about empowering companies with insights as we are about providing our employees with a fun, dynamic, and rewarding work experience. Visier is where you realize your potential, make big dreams a reality, break the status quo, win as a team, and deliver exceptional quality in everything you do.

We are proud to support the professional growth and personal wellness of our people. We offer competitive salary and benefit options, Scala certification, bootcamps, lunch and learns, personal development subsidies, in-house gym facilities (Vancouver office), yoga classes (Vancouver office), volunteer days, unlimited snacks and beverages, monthly socials, and more.
Visier Inc. - 
4 days ago",https://www.indeed.ca/m/viewjob?jk=3093ba2bd8b64e05
4,"
SCM INSURANCE SERVICES - ","Markham, ON",Data Scientist - Markham,"Job Description:
Job Desciption

Overview
This position reports into the Chief Data Scientist and is responsible for the execution of Data Science projects within the organization that drive business performance consistent with company goals and objectives. Works with internal and external clients to solve their data-driven problems. Collaborates with Ops, IT & other data scientist to develop and integrate machine learning, AI models into various processes. Active in research of new and innovative data science and Big Data tools and techniques. Monitors industry trends in machine learning and investigates new concepts, ideas, and data sources.

Job Responsibilities
Machine Learning Tools and Techniques Research (15%)
Sets the vision for the use of new and innovative tools and technology.Maintains and fosters an industry awareness of new developments in machine learning techniques and tools, and ensures quick execution in their use within the department
Machine Learning Algorithm Development (85%)
Build the best in class machine learning models in line with with the strategy of the organizationWrite production grade machine learning code with a bias towards fast implementationValidate machine learning models on client organization data to evaluate their effectiveness and performanceBuild models and techniques as required to put machine learning models into production within time frames set by managementTest, debug assist with any issues in the model production pipeline
Qualifications & Education
3 to 5+ years in analytics with a proven track recordBachelors or Masters Degree in Quantitative Analytics, Statistics, Mathematics, similar disciplineTechnical Skills: Statistical Modeling, Machine Learning, Artificial Intelligence, Advanced Analytics methods, familiarity with ""Big Data"" frameworks, hands-on experience and expertise with SQL/PLSQL, R, Python Forward-thinking approach and successful history in driving their company's use of advanced analytics and automated processes leading to continuous business improvementA strong communicator with the ability to explain complex technical subject matter to non-technical peopleStrong professional ethics and impeccable personal integrity
SCM Insurance Services and affiliates welcome and encourage applications from people with disabilities. Accommodations are available on request for candidates throughout the recruitment and assessment process
LocalWorkBC.ca - 
17 hours ago",https://www.indeed.ca/m/viewjob?jk=e2ad2fd0beb0b85b
5,"
Cenovus Energy - ","Calgary, AB",Data Scientist,"Worker Type: Employee
Group: Upstream Engagement & Analytics Department
Job Post End Date: 09/14/2019
About Cenovus
We’re a Canadian integrated oil and natural gas company headquartered in Calgary. We’re committed to maximizing value by responsibly developing our assets in a safe, innovative and efficient way.
Our operations include oil sands projects in northern Alberta, which use specialized methods to drill and pump the oil to the surface, and established natural gas and oil production in Alberta and British Columbia. We also have 50 percent ownership in two U.S. refineries.
Our shares trade under the symbol CVE, and are listed on the Toronto and New York stock exchanges.
Job Description
Cenovus is looking for Data Scientist who is passionate about data with the training and curiosity to make discoveries in a world of big data. They understand and have practical applied experience in advanced mathematics and Artificial Intelligence (AI) methods. They are at ease with using big data tools on cloud enabled environments. They are capable of designing, executing and interpreting analytical experiments in a methodological way and writing software to clean and investigate large, messy data sets of numerical and textual data while integrating with external sources and APIs to discover interesting trends and insights. They are highly adept in evaluating alternate models through the application of theoretical approaches. They understand the tenants of reproducible research and tidy data.
This opportunity is an instrumental role in the conversion of Cenovus into a data-driven decision-making corporation. The Data Scientist is central in the process of mutating data into actionable insights.
Work environment:
This is a full-time employee position based in our downtown Calgary offices.
Responsibilities:
Researches and develops machine learning models for data analysis
Collaborates with Product Owners and Data Specialists to understand company needs and devise possible solutions
Keeps up-to-date with the latest technology trends so that they can be incorporated into the Cenovus Data Analytics toolbox
Understands and has practical applied experience in advanced mathematics and statistics, correlation, causation, primary component analysis and singular value decomposition
Write software to clean and investigate large, messy data sets of numerical and textual data while integrating with external sources and APIs to discover interesting trends and insights
Succinctly articulate results, insights and ideas to key decision-makers through using the data to tell a good story
Accountable to implements statistical-learning or other mathematical methodologies as needed for specific models or analysis
Facilitates joint-development efforts applied to data problems through creation of solution architectures and data products as necessary
Co-organize and facilitate training sessions to elevate the general analytics practice at Cenovus
Assist and advise citizen scientists with their own analytics projects
Qualifications:
Must be legally entitled to work in Canada
Three to 10 years of progressive experience in advanced analytics
Experience developing predictive models using machine learning or equivalent approaches in a professional setting
Experience programming with R and/or Python
Experience with AWS analytics tools
Experience using AI or ML on time series data from operations/manufacturing process controls
Notification
To be considered for a position, please click Apply and create an account or sign in to your Cenovus Careers profile.
Immediately following successful submission of your online application, you will receive an online notification confirming Cenovus's receipt of your resume.
Only those applicants who apply directly to a posted position and are selected for an interview will be contacted. We will not accept agency or third-party candidate submissions.
To follow the status of your application, log in to your Cenovus Careers profile and click on the appropriate job under ‘My Applications’.
Interested in this opportunity? Click the Apply link below.
Cenovus Energy - 
10 days ago",https://www.indeed.ca/m/viewjob?jk=492bd096d28175eb
6,"
Flashfood - ","Toronto, ON",Data Scientist,"Flashfood is looking for experienced analysts to join our Analytics team and help drive growth, understanding, and success. We are looking for candidates who have deep technical skills and are comfortable working in an evolving technology infrastructure to help us make data-informed decisions. You will be scrappy, independent, and excited about having a big impact and helping to solve hard problems.

You will partner closely with Finance, Marketing, & Product to provide visibility into our data, craft narratives, find insights, and provide recommendations. Analytics works closely with Engineering to transform data into products and insights that allow the rest of the company to make better decisions faster.

Responsibilities

Use data to inform and influence the direction of team roadmaps and inform business decisions
Work with key stakeholders to define goals and identify metrics for improving existing features and new releases
Deepen our understanding of patterns/trends in user behaviour, design experiments, and uncover new opportunities
Build dashboards and reports to drive awareness and understanding of metrics and experiment results
Work closely with Engineering to author and develop core data sets that empower operational and exploratory analyses


Requirements:

Experience doing quantitative analysis
A proven track record of using analysis to impact key business or product decisions
The ability to clearly and effectively communicate the results of complex analyses
Experience writing production dataset in SQL, OR building internal/production data tools for ETL, experimentation, or exploration in a scripting language (Python, R, etc)
A solid grasp of basic statistical applications and methods (experimentation, probabilities, regression)
Experience in software engineering, data engineering, consulting, or academic research a plus


Flashfood is a mobile platform connecting surplus food directly to its users at massive discounts to reduce food waste. Users see deals on surplus food through their phone, pay through their phone and pick it up any time same day in store. Flashfood is currently operating across Canada with Loblaw and is organizing a series of grocery partnerships in the US.
Glassdoor - 
19 days ago",https://www.indeed.ca/m/viewjob?jk=e13819f24dfeb265
7,"
Deloitte - ","Toronto, ON","Data Scientist, Omnia AI - New Graduate 2020 - Multiple Locations","Learn from deep subject matter experts through mentoring and on the job coaching.
Be encouraged to deepen your technical skills…whatever those may be.
Be part of a firm that leads the way and pushes themselves to look like contemporary Canada.
We combine our AI and machine learning expertise with our business and industry acumen to execute on business problems and build tangible enterprise solutions, come check us out.
What will your typical day look like?

You will be constantly engaging stakeholders (client or otherwise) to identify client problems and develop solutions. Through workshops, interviews, and research, you will identify gaps in current business and technology capabilities and work with a multi-functional team to define a future vision, the ‘Art of the Possible’. You will identify and grow uses cases into Proof of Concepts, define governance and operating models, and develop roadmaps to help a client execute on initiatives – all around applications of AI, Advanced Analytics, and Data. Finally, you will guide clients through these efforts, socializing results and effecting change management.
About the team

Omnia AI’s Data Science team is multi-discipline team of over 50 people across offices in Vancouver, Calgary, Montreal, and Toronto. The lead in identifying use cases, designing and building models, and working with Omnia peers to deploy large-scale solutions in data science. Applications include domains of supply chain management, customer & marketing, in government, financial services, energy and resources, consumer, and healthcare industries.
Enough about us, let’s talk about you

You are someone who is:
Graduating from an undergraduate or graduate degree in mathematics, computer science, computer engineering or other related programs
Able to look at objectives and data and apply the right data science technique given both
Can find value in data and how it helps companies achieve real and strategic value
Driven to solve the problem at hand and bring their best ever day through positivity, communication and great time and task management
Exposure/experience in data science toolkit Python, R, SQL, and others
Exposure to cloud technologies from Google, Amazon and Microsoft
Why Deloitte?

Launch your career with The One Firm where you can make an impact that matters in a way that you never thought possible. With endless opportunities at every turn, and a culture built to support and develop our people to be the very best they can be, Deloitte is The One Firm for you to learn, grow, create, connect, and lead. We do this by making three commitments to you:
You will lead at every level: We grow the world’s best leaders so you can achieve the impact you seek, faster.
You can work your way: We give you the means to be flexible in how you need and want to work, and we have innovative spaces, arrangements and the mindset to help you be wildly successful.
You will feel included and inspired: We create a deep sense of belonging where you can bring your whole self to work.

The next step is yours

Sound like The One Firm. For You? Apply by September 12th 2019.

At Deloitte we are all about doing business inclusively – that starts with having a diverse colleagues of all abilities! We encourage you to connect with us at accessiblecareers@deloitte.ca if you require an accommodation in the recruitment process, or need this job posting in an alternative format. We’d love to hear from you!

By applying to this job you will be assessed against the Deloitte Global Talent Standards. We’ve designed these standards to provide our clients with a consistent and exceptional Deloitte experience globally.

We are passionate about helping you launch your career at Deloitte. Prepped is a free, digital and personalized, voluntary program that may provide the guidance and training you need to properly tackle your job search, and could prepare you for the next steps in the interview process. Prepped is currently only available in English, and is not a Deloitte created tool. Choosing to use or not use Prepped will not be weighted towards or against you. Get Prepped now at https://www.fullyprepped.ca/invite.
Deloitte - 
21 days ago",https://www.indeed.ca/m/viewjob?jk=d60b1e7c764bee40
8,"
AMZN CAN Fulfillment Svcs, ULC - ","Vancouver, BC",Data Scientist II,"Master or PhD in Computer Science, Machine Learning, Statistics or a related quantitative field.4+ years of hands-on experience in applied machine learning, and predictive modeling and analysis.Algorithm and model development experience for large-scale applicationsExperience using Python, or other programming or scripting language, as well as with R, MATLAB.Solid understanding of foundational statistics concepts, NLU and ML algorithms: linear/logistic regression, random forest, boosting, GBM, NNs, etc.
Language required for job: English

Terms of employment: Full time, permanent

Job location: 510 West Georgia Street, Vancouver, V6B 0M3

The Smart Home team is focused on making Alexa the user interface for the home. From the simplest voice commands (turn on the lights, turn down the heat) to use cases spanning home security, home entertainment, and the home environment, we are evolving Alexa into intelligent, indispensable companion that automates daily routines, simplifies interaction with appliances and electronics, and alerts when something unusual is detected.

You will be part of a team delivering features that are highly anticipated by media and well received by our customers. Here are a few links that highlight working with Alexa.
Meet the Alexa Software Team:
https://www.youtube.com/watch?v=KpXEsrjcj6Y
Charlie Kindel, Director, Alexa Smart Home, CEDIA Keynote:
https://www.youtube.com/watch?v=tatp2M5hG-M
Amazon Echo Emerges as a Surprise Leader in Smart Home Platform War:
[url=https://www.forbes.com/sites/aarontilley/
You can make your Amazon Alexa Smarter:
[url=http://fortune.com/video/
How to make the Amazon Echo the Center of Your Smart Home:
[url=http://www.wired.com/

As a Machine Learning Scientist, you will work with software developers and other teams to design and implement NLU models for how customers use and interact with smart devices in their homes. You will help lay the foundation to move from directed device interactions to learned behaviors that enable Alexa to proactively take action on behalf of the customer. And, you will have the satisfaction of working on a product your friends and family can relate to, and want to use every day. Like the world of smart phones less than 10 years ago, this is a rare opportunity to have a giant impact on the way people live.

Salary $88,200 to $147,300/yr, commensurate with experience

All applicants must meet qualifications above.

Benefits: Amazon provides a full range of benefits for our global employees and their eligible family members. Eligible employees may also receive signing bonuses and Amazon Restricted Stock Units. This position is eligible for further pay increases and bonuses at the company's discretion. While they might vary from location to location, Amazon benefits for Canada may include:

Health CareSavings PlansIncome ProtectionPaid Time OffEmployee StockSigning Bonuses
Amazon offers competitive packages, growth potential and a challenging and exciting work environment. Amazon and its affiliates are Equal Opportunity Employers. Visit www.Amazon.com/careers for more information.
Amazon.com - 
30+ days ago",https://www.indeed.ca/m/viewjob?jk=8403771f2bb57f93
9,"
DRW Holdings, LLC - ","Quebec City, QC",Data Scientist - Montreal,"DRW is a technology-driven, diversified principal trading firm. We trade our own capital at our own risk, across a broad range of asset classes, instruments and strategies, in financial markets around the world. As the markets have evolved over the past 25 years, so has DRW - maximizing opportunities to include real estate, cryptoassets and venture capital. With over 900 employees at our Chicago headquarters and offices around the world, we work together to solve complex problems, challenge consensus and deliver meaningful results. It's a place of high expectations, deep curiosity and thoughtful collaboration.

Our NX team is looking for a passionate, innovative Data Scientist to lead a functional team that will work on critical networking projects and grow the team to become an international center of excellence, supporting DRW various needs in data science.

What you'll be working on...
Developing core algorithms and models to enhance network design, operation, optimization and monitoring
Work closely with subject matter experts in other teams to develop and continuously improve models, and help translate business needs into data science projects
Being a leading Machine Learning authority; staying at the forefront of the newest technologies, prototypes, and being proactive in Machine Learning communities
Provide mentorship to your peers

You'll feel right at home if you...
Have 3-5 years of applied experience in data science
Have experience in various machine learning use cases, such as, time series analysis, regression and classification
Have the agile mindset; delivering value iteratively
Have expert understanding of machine learning techniques; knowledge of tools and packages such as Tensorflow, Pytorch, Keras, Scikit-Learn, XGBoost, Matplotlib.
Have good knowledge of deep learning and more traditional machine learning algorithms
Have the ability to build, validate, deploy and monitor alliteratively advanced predictive models
Have excellent scripting and programming skills (such as Python, SQL)
Have experience in conducting Machine Learning projects
Have a positive, team-focused attitude and strong collaboration skills
Have excellent written and communication skills to present complete and cohesive findings
Have the ability to produce clear, logical and convincing arguments and explain complex ideas simply
LocalWorkBC.ca - 
17 hours ago",https://www.indeed.ca/m/viewjob?jk=2f2e42fd2f1420db
